InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,1,0
900,1,1
1000,0,1
1100,0,1
1200,0,1
1300,1,1
1400,1,1
1500,1,2
1600,1,2
1700,2,2
1800,2,3
1900,2,3
2000,2,3
2100,2,4
2200,2,4
2300,2,5
2400,2,5
2500,4,5
2600,3,6
2700,4,6
2800,3,7
2900,4,7
3000,4,7
3100,4,8
3200,4,8
3300,4,11
3400,5,10
3500,5,11
3600,7,10
3700,7,12
3800,6,12
3900,7,12
4000,7,13
4100,7,14
4200,8,15
4300,8,15
4400,9,19
4500,9,17
4600,9,19
4700,9,18
4800,10,20
4900,10,20
5000,12,21
5100,13,23
5200,14,23
5300,13,24
5400,12,25
5500,13,29
5600,17,29
5700,17,32
5800,16,30
5900,16,31
6000,17,34
6100,17,33
6200,19,35
6300,20,36
6400,19,38
6500,22,40
6600,21,41
6700,23,45
6800,21,45
6900,22,48
7000,26,46
7100,23,55
7200,24,53
7300,27,53
7400,24,54
7500,25,55
7600,25,57
7700,32,61
7800,26,60
7900,30,62
8000,29,65
8100,30,65
8200,32,71
8300,32,72
8400,33,77
8500,34,75
8600,35,74
8700,39,77
8800,36,81
8900,36,80
9000,35,84
9100,37,85
9200,42,86
9300,37,89
9400,38,95
9500,43,93
9600,44,99
9700,43,100
9800,43,98
9900,44,105
10000,45,107
10100,46,111
10200,50,113
10300,48,111
10400,50,115
10500,47,122
10600,49,122
10700,54,121
10800,53,124
10900,53,131
11000,53,130
11100,54,129
11200,56,136
11300,63,138
11400,61,140
11500,59,143
11600,61,142
11700,60,149
11800,62,151
11900,66,150
12000,69,156
12100,69,159
12200,64,162
12300,71,166
12400,70,168
12500,74,171
12600,75,172
12700,82,175
12800,74,177
12900,77,183
13000,78,187
13100,77,190
13200,76,195
13300,77,199
13400,78,199
13500,83,205
13600,83,202
13700,84,203
13800,86,206
13900,88,213
14000,84,219
14100,94,218
14200,93,224
14300,90,227
14400,93,230
14500,97,238
14600,95,238
14700,100,241
14800,100,245
14900,97,244
15000,98,247
15100,106,258
15200,103,259
15300,109,269
15400,108,270
15500,108,284
15600,108,279
15700,112,276
15800,108,277
15900,119,277
16000,114,287
16100,116,296
16200,114,294
16300,130,302
16400,121,311
16500,129,306
16600,125,307
16700,124,319
16800,122,317
16900,129,319
17000,135,321
17100,130,323
17200,132,326
17300,136,331
17400,134,335
17500,135,348
17600,137,345
17700,138,349
17800,138,356
17900,145,365
18000,145,366
18100,154,371
18200,152,371
18300,151,384
18400,157,378
18500,157,385
18600,153,394
18700,156,400
18800,162,398
18900,158,398
19000,168,402
19100,166,405
19200,169,414
19300,165,434
19400,170,435
19500,171,435
19600,175,448
19700,176,428
19800,172,443
19900,177,461
