InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,1,0,0
900,1,0,0
1000,1,0,0
1100,2,0,0
1200,1,0,0
1300,2,0,0
1400,3,0,0
1500,3,0,0
1600,3,0,0
1700,3,0,0
1800,4,0,0
1900,3,0,0
2000,5,0,0
2100,4,0,0
2200,5,0,0
2300,6,0,0
2400,7,0,0
2500,7,0,0
2600,7,0,0
2700,8,0,0
2800,8,0,0
2900,10,0,0
3000,14,0,0
3100,11,0,0
3200,11,0,0
3300,11,0,0
3400,14,0,0
3500,15,0,0
3600,14,0,0
3700,15,0,0
3800,17,0,0
3900,21,0,0
4000,17,0,0
4100,20,0,0
4200,21,0,0
4300,24,0,0
4400,22,0,0
4500,23,0,0
4600,22,0,0
4700,23,0,0
4800,24,0,0
4900,25,0,0
5000,27,0,0
5100,28,0,0
5200,34,0,0
5300,31,0,0
5400,32,0,0
5500,34,0,0
5600,34,0,0
5700,39,0,0
5800,37,0,0
5900,41,0,0
6000,40,0,0
6100,44,0,0
6200,42,0,0
6300,43,0,0
6400,50,0,0
6500,50,0,0
6600,57,0,0
6700,56,0,0
6800,59,0,0
6900,58,0,0
7000,60,0,0
7100,60,0,0
7200,58,0,0
7300,69,0,0
7400,61,0,0
7500,65,0,0
7600,66,0,0
7700,71,0,0
7800,70,0,0
7900,75,0,0
8000,73,0,0
8100,79,0,0
8200,79,0,0
8300,85,0,0
8400,89,0,0
8500,87,0,0
8600,91,0,0
8700,89,0,0
8800,99,0,0
8900,94,0,0
9000,93,0,0
9100,101,0,0
9200,98,0,0
9300,102,0,0
9400,100,0,0
9500,112,0,0
9600,116,0,0
9700,112,0,0
9800,115,0,0
9900,112,0,0
10000,121,0,0
10100,121,0,0
10200,126,0,0
10300,124,0,0
10400,127,0,0
10500,133,0,0
10600,143,0,0
10700,140,0,0
10800,138,0,0
10900,145,0,0
11000,147,0,0
11100,142,0,0
11200,147,0,0
11300,156,0,0
11400,161,0,0
11500,167,0,0
11600,186,0,0
11700,170,0,0
11800,165,0,0
11900,171,0,0
12000,181,0,0
12100,172,0,0
12200,188,0,0
12300,184,0,0
12400,186,0,0
12500,216,0,0
12600,200,0,0
12700,199,0,0
12800,198,0,0
12900,206,0,0
13000,248,0,0
13100,207,0,0
13200,208,0,0
13300,233,0,0
13400,267,0,0
13500,235,0,0
13600,263,0,0
13700,232,0,0
13800,242,0,0
13900,231,0,0
14000,241,0,0
14100,245,0,0
14200,243,0,0
14300,246,0,0
14400,245,0,0
14500,253,0,0
14600,264,0,0
14700,263,0,0
14800,266,0,0
14900,277,0,0
15000,272,0,0
15100,281,0,0
15200,274,0,1
15300,290,0,0
15400,291,0,0
15500,291,0,0
15600,296,0,0
15700,312,0,0
15800,374,0,0
15900,310,0,0
16000,313,0,0
16100,321,0,0
16200,326,0,0
16300,328,0,0
16400,327,0,0
16500,327,0,0
16600,338,0,0
16700,337,0,0
16800,364,0,0
16900,364,0,0
17000,352,0,0
17100,419,0,0
17200,359,0,0
17300,414,0,0
17400,359,0,0
17500,380,0,0
17600,382,0,0
17700,470,0,0
17800,459,0,0
17900,400,0,0
18000,407,0,0
18100,398,0,0
18200,399,0,0
18300,419,0,0
18400,412,0,0
18500,419,0,0
18600,426,0,0
18700,422,0,0
18800,428,0,0
18900,435,0,0
19000,455,0,0
19100,517,0,0
19200,461,0,0
19300,460,0,0
19400,456,0,0
19500,474,0,0
19600,496,0,0
19700,484,0,0
19800,491,0,0
19900,484,0,0
