InputIndices,TestResults
0,0
100,0
200,0
300,1
400,0
500,0
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,3
1300,3
1400,3
1500,3
1600,4
1700,4
1800,4
1900,4
2000,4
2100,5
2200,5
2300,6
2400,5
2500,6
2600,6
2700,6
2800,9
2900,9
3000,8
3100,7
3200,7
3300,7
3400,7
3500,9
3600,9
3700,10
3800,11
3900,10
4000,11
4100,9
4200,12
4300,10
4400,11
4500,9
4600,12
4700,15
4800,13
4900,13
5000,11
5100,13
5200,13
5300,15
5400,13
5500,15
5600,13
5700,15
5800,18
5900,16
6000,17
6100,16
6200,16
6300,18
6400,17
6500,17
6600,16
6700,20
6800,22
6900,20
7000,19
7100,18
7200,17
7300,18
7400,19
7500,22
7600,20
7700,23
7800,21
7900,22
8000,20
8100,23
8200,24
8300,27
8400,20
8500,24
8600,22
8700,24
8800,25
8900,22
9000,26
9100,24
9200,27
9300,22
9400,22
9500,30
9600,25
9700,25
9800,29
9900,34
10000,26
10100,29
10200,26
10300,24
10400,28
10500,27
10600,28
10700,30
10800,30
10900,32
11000,35
11100,30
11200,31
11300,32
11400,30
11500,28
11600,29
11700,33
11800,34
11900,43
12000,43
12100,34
12200,33
12300,36
12400,37
12500,31
12600,45
12700,33
12800,33
12900,39
13000,38
13100,33
13200,38
13300,31
13400,32
13500,36
13600,37
13700,34
13800,36
13900,39
14000,35
14100,38
14200,34
14300,48
14400,39
14500,38
14600,46
14700,44
14800,37
14900,40
15000,36
15100,37
15200,44
15300,38
15400,41
15500,38
15600,42
15700,38
15800,47
15900,44
16000,44
16100,39
16200,43
16300,46
16400,39
16500,48
16600,45
16700,48
16800,46
16900,43
17000,49
17100,52
17200,54
17300,42
17400,51
17500,58
17600,50
17700,49
17800,50
17900,45
18000,47
18100,57
18200,52
18300,49
18400,54
18500,51
18600,55
18700,49
18800,47
18900,46
19000,52
19100,59
19200,52
19300,55
19400,49
19500,50
19600,56
19700,57
19800,58
19900,52
