ListSizes,TestResult
0,0
1000,2
2000,3
3000,4
4000,5
5000,7
6000,9
7000,10
8000,12
9000,13
10000,14
11000,16
12000,17
13000,20
14000,24
15000,24
16000,23
17000,22
18000,26
19000,26
20000,28
21000,33
22000,31
23000,31
24000,31
25000,34
26000,38
27000,41
28000,38
29000,44
30000,70
31000,57
32000,55
33000,55
34000,49
35000,47
36000,50
37000,56
38000,50
39000,58
40000,63
41000,70
42000,78
43000,58
44000,64
45000,73
46000,69
47000,70
48000,84
49000,67
50000,77
51000,82
52000,74
53000,79
54000,81
55000,73
56000,97
57000,87
58000,82
59000,83
60000,84
61000,84
62000,89
63000,82
64000,86
65000,88
66000,86
67000,95
68000,95
69000,87
70000,99
71000,101
72000,95
73000,100
74000,115
75000,109
76000,118
77000,123
78000,128
79000,118
80000,113
81000,120
82000,132
83000,108
84000,115
85000,120
86000,124
87000,145
88000,128
89000,134
90000,122
91000,125
92000,139
93000,129
94000,130
95000,139
96000,142
97000,139
98000,153
99000,137
100000,135
101000,138
102000,139
103000,139
104000,143
105000,140
106000,143
107000,171
108000,154
109000,153
110000,149
111000,144
112000,153
113000,146
114000,174
115000,163
116000,186
117000,235
118000,212
119000,196
120000,196
121000,218
122000,176
123000,176
124000,164
125000,161
126000,161
127000,160
128000,170
129000,169
130000,169
131000,170
132000,165
133000,177
134000,177
135000,178
136000,182
137000,184
138000,173
139000,182
140000,192
141000,179
142000,187
143000,182
144000,198
145000,188
146000,191
147000,200
148000,201
149000,192
150000,196
151000,201
152000,190
153000,198
154000,204
155000,197
156000,203
157000,206
158000,238
159000,244
160000,247
161000,231
162000,216
163000,230
164000,229
165000,227
166000,215
167000,228
168000,220
169000,235
170000,236
171000,226
172000,258
173000,281
174000,251
175000,256
176000,251
177000,325
178000,347
179000,275
180000,271
181000,262
182000,292
183000,254
184000,279
185000,266
186000,264
187000,263
188000,273
189000,251
190000,253
191000,279
192000,290
193000,274
194000,249
195000,273
196000,272
197000,264
198000,311
199000,276
