K,TestResult
0,0
1000,264
2000,296
3000,319
4000,311
5000,316
6000,334
7000,388
8000,360
9000,357
10000,365
11000,356
12000,413
13000,385
14000,429
15000,412
16000,386
17000,404
18000,389
19000,419
20000,511
21000,411
22000,406
23000,411
24000,444
25000,394
26000,398
27000,395
28000,394
29000,472
30000,414
31000,390
32000,437
33000,442
34000,449
35000,421
36000,416
37000,408
38000,420
39000,412
40000,420
41000,439
42000,430
43000,425
44000,468
45000,526
46000,469
47000,455
48000,414
49000,423
50000,417
51000,423
52000,418
53000,412
54000,420
55000,419
56000,430
57000,434
58000,416
59000,478
60000,430
61000,504
62000,437
63000,447
64000,482
65000,450
66000,441
67000,447
68000,457
69000,515
70000,484
71000,496
72000,526
73000,468
74000,558
75000,456
76000,435
77000,456
78000,446
79000,453
80000,480
81000,479
82000,439
83000,467
84000,465
85000,499
86000,475
87000,506
88000,481
89000,443
90000,447
91000,460
92000,491
93000,460
94000,476
95000,486
96000,492
97000,476
98000,471
99000,457
100000,476
101000,622
102000,483
103000,479
104000,482
105000,475
106000,458
107000,511
108000,516
109000,583
110000,521
111000,491
112000,501
113000,496
114000,546
115000,582
116000,539
117000,501
118000,653
119000,515
120000,501
121000,599
122000,551
123000,469
124000,478
125000,566
126000,565
127000,558
128000,537
129000,510
130000,489
131000,507
132000,532
133000,500
134000,569
135000,549
136000,509
137000,508
138000,490
139000,543
140000,548
141000,493
142000,588
143000,517
144000,471
145000,503
146000,497
147000,528
148000,471
149000,478
150000,501
151000,522
152000,478
153000,466
154000,495
155000,571
156000,534
157000,608
158000,600
159000,555
160000,547
161000,562
162000,551
163000,554
164000,610
165000,543
166000,619
167000,562
168000,561
169000,523
170000,505
171000,523
172000,496
173000,496
174000,513
175000,519
176000,505
177000,558
178000,504
179000,473
180000,527
181000,507
182000,521
183000,493
184000,519
185000,515
186000,505
187000,472
188000,486
189000,480
190000,473
191000,484
192000,488
193000,512
194000,510
195000,507
196000,496
197000,485
198000,474
199000,464
