DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,1,1,0
2000,1,1,1
3000,3,2,3
4000,4,2,3
5000,8,5,5
6000,11,5,5
7000,10,7,6
8000,13,7,7
9000,26,12,12
10000,32,13,11
11000,32,14,11
12000,43,17,15
13000,47,17,13
14000,56,20,13
15000,65,20,14
16000,79,23,14
17000,80,25,15
18000,127,48,26
19000,134,44,25
20000,153,46,25
21000,152,49,26
22000,164,54,31
23000,187,59,28
24000,194,60,31
25000,195,64,30
26000,218,69,29
27000,241,72,32
28000,262,78,32
29000,274,84,30
30000,304,86,33
31000,321,94,29
32000,344,105,31
33000,367,102,32
34000,390,108,32
35000,568,170,54
36000,621,169,55
37000,635,178,59
38000,655,180,56
39000,689,191,55
40000,714,196,55
41000,777,208,57
42000,820,216,58
43000,811,221,59
44000,859,232,60
45000,903,245,59
46000,946,250,60
47000,956,256,62
48000,999,267,60
49000,1107,284,62
50000,1097,293,61
51000,1180,304,62
52000,1271,310,68
53000,1232,313,69
54000,1287,337,67
55000,1326,341,66
56000,1428,358,67
57000,1440,358,69
58000,1542,381,63
59000,1535,397,66
60000,1617,421,73
61000,1648,411,71
62000,1646,431,64
63000,1784,458,70
64000,1917,469,73
65000,1920,462,75
66000,2004,474,74
67000,2100,501,82
68000,2128,523,74
69000,2203,497,83
70000,3227,735,135
71000,3294,747,133
72000,3339,764,146
73000,3158,793,124
74000,3380,785,120
75000,3468,816,116
76000,3517,828,124
77000,3799,837,121
78000,3851,871,121
79000,3873,845,134
